Date,Mu2Ch12,Mu2Ch13,Mu2Ch23,Icorr213,Icorr212,Icorr223
2022-06-27 21:00:00+00:00,19412,9935,20077,9943,19427,20094
2022-06-27 22:00:00+00:00,18932,9867,20018,9873,18942,20030
2022-06-27 23:00:00+00:00,19221,9995,20001,9999,19229,20010
2022-06-28 00:00:00+00:00,19202,9971,19929,9972,19205,19932
2022-06-28 01:00:00+00:00,19017,9925,20206,9926,19019,20208
2022-06-28 02:00:00+00:00,19034,9924,19932,9926,19037,19936
2022-06-28 03:00:00+00:00,19160,9869,19747,9876,19171,19760
2022-06-28 04:00:00+00:00,18997,9868,20035,9877,19012,20053
2022-06-28 05:00:00+00:00,18997,9771,19761,9782,19016,19783
2022-06-28 06:00:00+00:00,19264,9905,19914,9919,19288,19941
2022-06-28 07:00:00+00:00,19218,9917,19948,9930,19240,19974
2022-06-28 08:00:00+00:00,19379,10029,20143,10042,19401,20168
2022-06-28 09:00:00+00:00,19148,9848,19843,9862,19171,19870
2022-06-28 10:00:00+00:00,18984,9853,19781,9863,19001,19801
2022-06-28 11:00:00+00:00,19414,10115,20209,10126,19433,20230
2022-06-28 12:00:00+00:00,19299,9988,19977,9998,19316,19996
2022-06-28 13:00:00+00:00,19383,9960,20154,9970,19401,20174
2022-06-28 14:00:00+00:00,19281,9911,20068,9922,19300,20089
2022-06-28 15:00:00+00:00,19106,9886,20107,9900,19129,20134
2022-06-28 16:00:00+00:00,19224,9823,19926,9838,19249,19955
2022-06-28 17:00:00+00:00,19081,9871,20306,9885,19104,20333
2022-06-28 18:00:00+00:00,19354,10076,20338,10089,19377,20364
2022-06-28 19:00:00+00:00,19293,9961,20334,9973,19314,20358
2022-06-28 20:00:00+00:00,19193,9982,19911,9993,19212,19933
2022-06-28 21:00:00+00:00,19005,9903,19991,9911,19019,20008
2022-06-28 22:00:00+00:00,19300,9969,20155,9976,19312,20168
2022-06-28 23:00:00+00:00,19136,10057,20192,10062,19145,20203
2022-06-29 00:00:00+00:00,19130,9954,20173,9957,19135,20179
2022-06-29 01:00:00+00:00,18992,9937,19933,9937,18993,19934
2022-06-29 02:00:00+00:00,19029,9760,19671,9762,19032,19675
2022-06-29 03:00:00+00:00,19316,10059,20177,10064,19325,20187
2022-06-29 04:00:00+00:00,19130,9963,19956,9971,19143,19971
2022-06-29 05:00:00+00:00,19245,10013,19948,10025,19265,19971
2022-06-29 06:00:00+00:00,19120,10025,20038,10038,19142,20064
2022-06-29 07:00:00+00:00,18820,9600,19742,9612,18841,19766
2022-06-29 08:00:00+00:00,19298,9962,19991,9975,19320,20016
2022-06-29 09:00:00+00:00,19318,10017,20215,10030,19340,20240
2022-06-29 10:00:00+00:00,19252,9880,19975,9891,19271,19996
2022-06-29 11:00:00+00:00,19343,9996,20143,10006,19361,20163
2022-06-29 12:00:00+00:00,19118,9966,20179,9978,19138,20203
2022-06-29 13:00:00+00:00,19392,9994,20075,10009,19418,20104
2022-06-29 14:00:00+00:00,19405,9911,19943,9926,19432,19973
2022-06-29 15:00:00+00:00,19417,10138,20342,10156,19448,20377
2022-06-29 16:00:00+00:00,19227,10022,20204,10041,19258,20240
2022-06-29 17:00:00+00:00,19268,10010,20176,10027,19297,20209
